race_id,pred,label
202643050511,0.777,1
202606020505,0.1988226976964497,0
202606020506,0.1574649023659729,1
202606020507,0.1834722115245527,1
202606020508,0.1507907490291375,1
202606020509,0.165856199793038,1
202606020510,0.164323526226143,1
202606020511,0.1584094431395503,1
202606020512,0.1458860514200565,0
202609010701,0.1982245367876736,1
202609010702,0.1599380887460698,0
202609010703,0.1674913735178,0
202609010704,0.1860397796196033,1
202609010705,0.1742542610871586,1
202609010706,0.194749209091597,0
202609010707,0.1630161503254485,0
202609010708,0.2008423744472429,1
202609010709,0.1391963459638832,1
202609010710,0.1750338241879171,1
202609010711,0.1664454231935292,1
202609010712,0.1669098857095986,1
