race_id,horse_id,horse_name,umaban,v15_pct,stride_length_mean,body_size_relative,stability_score,tension_score,n_bboxes,n_frames_with_horse,source
202605020511,202605020511_14,サクラファレル,14,0.95,2.98,0.4874,0.9705,0.1007,0,0,simulate_session62_realistic
202605020511,202605020511_11,トロヴァトーレ,11,0.85,2.93,0.5059,0.931,0.1449,0,0,simulate_session62_realistic
202605020511,202605020511_1,ジュタ,1,0.75,2.88,0.502,0.9184,0.1707,0,0,simulate_session62_realistic
202608030511,202608030511_1,アーレムアレス,1,0.969,2.94,0.5025,0.9416,0.0901,0,0,simulate_session62_realistic
202608030511,202608030511_8,バドリナート,8,0.906,2.97,0.4945,0.9167,0.158,0,0,simulate_session62_realistic
202608030511,202608030511_13,ニホンピロロジャー,13,0.844,2.91,0.4917,0.911,0.0977,0,0,simulate_session62_realistic
202608030511,202608030511_2,エムズビギン,2,0.781,2.85,0.4843,0.9287,0.1766,0,0,simulate_session62_realistic
202608030511,202608030511_9,カフジエメンタール,9,0.719,2.87,0.499,0.9084,0.1868,0,0,simulate_session62_realistic
202608030511,202608030511_5,コンジェスタス,5,0.656,2.83,0.4878,0.884,0.1863,0,0,simulate_session62_realistic
202608030511,202608030511_12,キンググローリー,12,0.594,2.73,0.4865,0.8294,0.1829,0,0,simulate_session62_realistic
202608030511,202608030511_15,ベレシート,15,0.531,2.71,0.486,0.8357,0.2111,0,0,simulate_session62_realistic
202608030511,202608030511_16,アクセス,16,0.469,2.66,0.4805,0.8205,0.1831,0,0,simulate_session62_realistic
202608030511,202608030511_3,メイショウテンク,3,0.406,2.61,0.482,0.8531,0.1828,0,0,simulate_session62_realistic
202608030511,202608030511_10,サヴォアフェール,10,0.344,2.62,0.4493,0.8466,0.2399,0,0,simulate_session62_realistic
202608030511,202608030511_14,ステラスペース,14,0.281,2.54,0.4791,0.8409,0.2549,0,0,simulate_session62_realistic
202608030511,202608030511_6,ラディアントスター,6,0.219,2.56,0.4469,0.795,0.2946,0,0,simulate_session62_realistic
202608030511,202608030511_7,カムアップローゼス,7,0.156,2.46,0.45,0.8171,0.3027,0,0,simulate_session62_realistic
202608030511,202608030511_4,ティラーノ,4,0.094,2.5,0.4738,0.7557,0.277,0,0,simulate_session62_realistic
202608030511,202608030511_11,ブリガンティン,11,0.031,2.45,0.445,0.7945,0.302,0,0,simulate_session62_realistic
202604010311,202604010311_1,パラサイコロジー,1,0.969,2.96,0.4927,0.979,0.1322,0,0,simulate_session62_realistic
202604010311,202604010311_5,カウンターセブン,5,0.906,2.98,0.4841,0.8916,0.0909,0,0,simulate_session62_realistic
202604010311,202604010311_13,エコロジーク,13,0.844,2.86,0.498,0.9122,0.1112,0,0,simulate_session62_realistic
202604010311,202604010311_14,ベイビーキッス,14,0.781,2.91,0.5042,0.8864,0.1129,0,0,simulate_session62_realistic
202604010311,202604010311_15,カウスリップ,15,0.719,2.85,0.4977,0.8897,0.1779,0,0,simulate_session62_realistic
202604010311,202604010311_16,シュラフ,16,0.656,2.82,0.478,0.865,0.2008,0,0,simulate_session62_realistic
202604010311,202604010311_4,シャカシャカシー,4,0.594,2.73,0.4982,0.8795,0.1918,0,0,simulate_session62_realistic
202604010311,202604010311_3,スコーピオン,3,0.531,2.72,0.4604,0.8951,0.1782,0,0,simulate_session62_realistic
202604010311,202604010311_11,トールキン,11,0.469,2.65,0.4598,0.8574,0.1677,0,0,simulate_session62_realistic
202604010311,202604010311_2,ショウナンラスボス,2,0.406,2.61,0.4561,0.8644,0.2338,0,0,simulate_session62_realistic
202604010311,202604010311_7,ハートホイップ,7,0.344,2.59,0.4552,0.8113,0.1945,0,0,simulate_session62_realistic
202604010311,202604010311_9,メイショウキルギス,9,0.281,2.59,0.4819,0.8285,0.277,0,0,simulate_session62_realistic
202604010311,202604010311_12,ロードトレイル,12,0.219,2.56,0.4725,0.8273,0.2447,0,0,simulate_session62_realistic
202604010311,202604010311_8,ジュンヴァンケット,8,0.156,2.51,0.461,0.7898,0.2475,0,0,simulate_session62_realistic
202604010311,202604010311_10,トーアアイギス,10,0.094,2.44,0.4352,0.8012,0.2828,0,0,simulate_session62_realistic
202604010311,202604010311_6,タツダイヤモンド,6,0.031,2.42,0.4595,0.7825,0.2947,0,0,simulate_session62_realistic
