"06235401","パサパサに乾いて砂煙上がるが、時計は標準並み。バラバラのスタート。芝地点で外のステラシティが一歩優勢、２番手にフジゴウキャクが続く。２頭がサッと抜け出して、３番手以降を２馬身ほど引き離してリードするが、ペースは決して速くない。追走する側がだいぶ苦しい手応えで、２頭が直線入口でさらに後続を引き離す。ステラシティが坂上でもう一伸びして、フジゴウキャクを振り切った。フジゴウキャクも態勢十分に２着を確保。さらに離れた３着に、離れた３番手を進んでいたセイウンチドリが入線。前に行った組がだいぶ楽な展開だった。","　"
"06235402","多少馬場内側の蹄跡は増えてきたが、引き続きは速い時計が出る馬場。出遅れ多数、バラバラのスタート。内からダッシュ良くモンレーヴがサッと先頭に立つ。３コーナー進入する辺りで後続も徐々に追いついてきて、２番手にケイティキセキとミニマルデザインが接近。コーナーカーブの勢いでケイティキセキが先手を奪い、モンレーヴが一旦後退。テンの争いがあったのを見てか、後続の追撃が甘目で４コーナーでも馬群がバラけたまま。直線に向いて２番手ミニマルデザインがケイティキセキを交わして先頭に出るが、坂上ですぐさまモンレーヴが交わして出る。外からカチヌキマリコがジワジワ接近、しかし最後もう一伸びが足りずミニマルデザインに追い付けなかった。モンレーヴが完勝、ミニマルデザインが２着。カチヌキマリコが３着。","　"
"06235403","パサパサに乾いて砂煙上がるが、時計は標準並み。バラついたスタート。ペイシャスウィフトとエスぺラードの先手争いになるが、エスペラードが速い。１コーナー先頭に飛び込んだ時点で２馬身リード。２番手にペイシャスウィフトが続くが、向正面で外からニシノコルベットが早めに押し上げる。一旦態勢不利だった好位内のウィウィルウィンが３コーナー手前で内から進出。３コーナー以降は先行集団が５頭で固まって進行し、残りの６頭はだいぶ手応え悪くしている。直線入口でウィウィルウィンが先頭に躍り出て、その真後ろから捌いてミルトパワーが満を持して追い出す。坂上であっという間に差を広げて、ミルトパワーが押し切った。大きく離れはしたが、２着にはウィウィルウィンが入線。最後ニシノコルベットが追いかけてきたが、３着まで。勝馬以外ほぼ全馬がバテている脚色で、走破時計も平凡。","　"
"06235404","障害コースの馬場状態は引き続き良好。若干バラついたスタート。最初の障害でカイトレッドとウラエウスの２頭が一歩優勢で飛越、最初の右カーブでカイトレッドが先頭に立つ。２番手にウラエウスが続く。しばらくはカイトレッドが単騎で３馬身ほどリード、後続も隊列は縦長。２周目に入っても先頭のペースが落ちず、なかなか後続も追い上げに難しくしていたが、２度目のバンケットを過ぎて３番手テイエムクロマルと中団にいたブリエヴェールが早め進出。４コーナーでやっと後続も追いついてきて、先頭から４馬身差以内射程圏に８頭ほどが固まって直線へ。先頭で粘るカイトレッドの内を掬って、ウラエウスがいい反応で交わす。外からビップランバン、さらに大外アースブレイブが伸びてきたが、最後までウラエウスがいい脚で伸び勝った。ビップランバンがゴール前２着に浮上、カイトレッドが３着に踏ん張った。","　"
"06235405","多少馬場内側の蹄跡は増えてきたが、引き続きは速い時計が出る馬場。バラバラのスタート。内から好スタートを決めたニシノリアリティがジワッと先手を奪う。２番手に同枠１番べアウェイトゥゴーが続く。テン争いを繰り広げるシーンも見られず後続の追い上げもないままゆったりしたペースで進行。直線に向いて先頭の２頭の脚色が甘くなり、３番手のグランカンタンテが渋太く抜け出す。その真後ろから捌いて出たエイユーキュートが坂上でグランカンタンテに迫り、最後は首の上げ下げ。しかし僅かにグランカンタンテが競り勝っていた。エイユーキュートは惜しい所まで運べたが、惜敗２着。少し離れて大外から鋭く脚を伸ばしたラスカンブレスが浮上。","　"
"06235406","多少馬場内側の蹄跡は増えてきたが、引き続きは速い時計が出る馬場。若干バラついたスタート。５頭ほどが横並びでテン争いをし、真ん中からコスモインシストがジワッと先頭に躍り出る。２番手にカミンスキ、その後ろ２列目にウインプロティアとローンウルフが続く。まずまずのペースで進行し隊列は縦長。徐々に後ろの組も３コーナー辺りから馬群の外を進出して押し上げ、４コーナーで大きく馬群がバラける。外から早めに仕掛けたエコロレイズが直線入口で先頭に立ち、真っ先に抜け出す構え。真後ろから接近してきたタンゴバイラリンが渋太く追って、ゴール寸前横に並び掛けたが、最後まで伸び脚を見せたエコロレイズが辛くも凌ぎ切った。タンゴバイラリンが２着、だいぶ離れた３着にマイネルモメンタムが浮上。大半の馬が直線でバテてしまっている。","　"
"06235407","パサパサに乾いて砂煙上がるが、時計は標準並み。バラついたスタート。外からブルーサンが真っ先に抜け出し、単独で１コーナー先頭に立つ。２番手にダノンスウィッチ、その後ろにミッキーファイトとキタノソワレ、ブレードサクセスら外枠各馬が先行集団を固める。まずまず速いラップを刻んでブルーサンが進行し、隊列はずっと縦長のまま。直線の入口でダノンスティッチの外からミッキーファイトが押し上げて、先頭で粘るブルーサンを捉える。あっと言う間に引き離し、一気に５馬身差広げての楽勝だった。逃げたブルーサンが２着に踏ん張り、さらに離れた３着に馬群を捌いて抜け出してきたメイプルタピットが浮上。勝馬はレコードにコンマ６秒差のかなり優秀な走破タイム。","　"
"06235408","パサパサに乾いて砂煙上がるが、時計は標準並み。バラバラのスタート。外のボンベールが好スタートからハナを切れそうだったが、出遅れたタッチャブルがビシッと促しグングン抜けて出て、最初の３コーナーで先頭に躍り出る。２番手にフクノブルジュ、３番手にボンベールが続く。隊列は縦長ながらも、ペースは相当遅い。かなり落ち着いた展開で向正面の半ばまで動きがなかったが、３コーナー手前でドーバーイーグルが馬群の外を一気に捲って進出。対応して３番手ボンベールが先頭のタッチャブルを追い、すぐさま並び掛ける。タッチャブルとボンベールが併走しながら直線に向き、ボンベールが引き離す脚。遅れて好位で構えていたクロスザルビコンが伸びてきたものの、ボンベールが最後もう一伸びが効いて押し通した。クロスザルビコンが２着、最後までバテずに脚が続いたドーバーイーグルが３着。","　"
"06235409","多少馬場内側の蹄跡は増えてきたが、引き続きは速い時計が出る馬場。比較的横並びで揃ったスタート。内枠各馬の行き脚一息で、大外のウィズグレイスがジワッと先頭に躍り出る。１コーナーでは単騎でリード。少し離れた２番手にアマイが続く。隊列は縦長、向正面途中でウインルーアが仕掛けて先頭に並び掛ける。ウィズグレイスは抵抗しているが、４コーナーでアマイが仕掛け早くも直線入口先頭に出る。しかし直線では粘りが効かず外を回った差し馬が殺到、馬群を割ってエープラスが伸びて外を回ったルージュアルルが猛追。最後は僅かにルージュアルルが競り勝った。エープラスは惜敗２着。２頭の間で若干挟まれる形になったミヤビが３着。","　"
"06235410","パサパサに乾いて砂煙上がるが、時計は標準並み。比較的横並びで揃ったスタート。外からベストリーガードが真っ先に先手を奪い、単独で１コーナーに飛び込むが、２番手フォルコメンが掛かり気味に先頭のベストリーガードに競りかける。２頭が後続をやや引き離してリード。それほど緩めてはいないが後続がジワジワ差を詰めて、４コーナーでゴールドハイアーが前行く２頭に並び掛ける。直線でベストリーガードは抵抗しているが、ゴールドハイアーが若干優勢。その後ろの列から渋太く伸びてきたキタノリューオーが、直線真っ先に伸びてきてゴールドハイアーを捉える。遅れて馬群の中から鋭くヴァルツァーシャルが伸びてくる。しかしキタノリューオーが最後までいい脚で伸び勝った。ヴァルツァーシャルは惜しくも届かず２着、ゴールドハイアーが３着入線。ベストリーガードは最後斤量の差が響いたか盛り返せず４着。","　"
