race_id,umaban,year,is_win,p_v18_w5,race_part
0425170111,11,2025,0,0.002593106738091875,04251701
1025250406,6,2025,0,0.015698958459454796,10252504
0525410402,2,2025,0,0.0019174727713938797,05254104
0325350502,2,2025,0,0.0021147677020590104,03253505
0825141001,1,2025,0,0.003801164341139933,08251410
0925231010,10,2025,0,0.0009530169087624372,09252310
0925321113,13,2025,0,0.0012709440015378848,09253211
0625141016,16,2025,0,0.0006350126985370008,06251410
0825171105,5,2025,0,0.022332495952750234,08251711
0725261104,4,2025,0,0.004485393699079843,07252611
0525231111,11,2025,0,0.004064785742409726,05252311
1025130504,4,2025,0,0.0393837789342381,10251305
10251B0510,10,2025,0,0.11432694521552657,10251B05
08252C0412,12,2025,0,0.035808134313668805,08252C04
0525330411,11,2025,0,0.002271530649563603,05253304
1025130412,12,2025,0,0.13613768859884012,10251304
0425160412,12,2025,1,0.4179071008894449,04251604
0425270903,3,2025,0,0.011184169259630321,04252709
0625160409,9,2025,0,0.14370103491382175,06251604
1025170402,2,2025,0,0.051725836916686835,10251704
10251B0402,2,2025,0,0.08284399876657564,10251B04
0925220401,1,2025,1,0.01456827586789999,09252204
0425130404,4,2025,0,0.03398097873897337,04251304
0425330103,3,2025,0,0.0008089972016541306,04253301
1025170801,1,2025,0,0.11176952191552655,10251708
0825270810,10,2025,0,0.043780036873948075,08252708
1025250405,5,2025,0,0.05599733381710504,10252504
0425270907,7,2025,0,0.013939582576828013,04252709
0525530811,11,2025,0,0.0049401258002976685,05255308
0825120908,8,2025,0,0.018665112574665965,08251209
0725250904,4,2025,0,0.010604888951328077,07252509
0425151006,6,2025,0,0.009586411280219115,04251510
08252C0912,12,2025,0,0.008301627070440572,08252C09
0725360808,8,2025,0,0.007888123629652305,07253608
0525530906,6,2025,0,0.0031294398386494857,05255309
0925520907,7,2025,0,0.007601666323258316,09255209
0525330406,6,2025,0,0.017040649755065005,05253304
1025151114,14,2025,0,0.00303379142658892,10251511
0625311103,3,2025,0,0.01042661707157404,06253111
05252C1215,15,2025,0,0.0017230538548460024,05252C12
0525291116,16,2025,0,0.00337641580229751,05252911
0725141110,10,2025,0,0.0069045018443157245,07251411
1025181114,14,2025,0,0.059751402247440834,10251811
0525160811,11,2025,0,0.0062534749995623,05251608
0525571202,2,2025,0,0.0009874545417343816,05255712
0425170114,14,2025,0,0.11743665339172331,04251701
0525171107,7,2025,0,0.005018277101457411,05251711
0925261010,10,2025,0,0.02840174679724101,09252610
05252C1212,12,2025,0,0.008405032015065015,05252C12
1025281111,11,2025,0,0.005551334924717022,10252811
