race_id,umaban,year,is_win,p_v18_no_sib
0425170111,11,2025,0,0.00510875132530821
1025250406,6,2025,0,0.013263929866654294
0525410402,2,2025,0,0.0017136441362727752
0325350502,2,2025,0,0.0019459345015027357
0825141001,1,2025,0,0.0023009579128845927
0925231010,10,2025,0,0.0005849399446452538
0925321113,13,2025,0,0.0012364334294147788
0625141016,16,2025,0,0.0002761710779777123
0825171105,5,2025,0,0.024339122279177616
0725261104,4,2025,0,0.00665066277759242
0525231111,11,2025,0,0.007319105307462996
1025130504,4,2025,0,0.06087804213926707
10251B0510,10,2025,0,0.1754848948327681
08252C0412,12,2025,0,0.04512069080685637
0525330411,11,2025,0,0.0017665143558285121
1025130412,12,2025,0,0.11004283521538653
0425160412,12,2025,1,0.26612874977174833
0425270903,3,2025,0,0.005431438701084422
0625160409,9,2025,0,0.09963019173366051
1025170402,2,2025,0,0.03458884286452807
10251B0402,2,2025,0,0.04975515107805851
0925220401,1,2025,1,0.013807146744495407
0425130404,4,2025,0,0.021635075017062633
0425330103,3,2025,0,0.0010458577364664255
1025170801,1,2025,0,0.1191506339691014
0825270810,10,2025,0,0.04941153823140859
1025250405,5,2025,0,0.06903988620428075
0425270907,7,2025,0,0.011331359705713147
0525530811,11,2025,0,0.008257696183036095
0825120908,8,2025,0,0.023996210806472452
0725250904,4,2025,0,0.011749907243430276
0425151006,6,2025,0,0.014251906303194227
08252C0912,12,2025,0,0.008183410425338655
0725360808,8,2025,0,0.008763270876177925
0525530906,6,2025,0,0.0021233910291372894
0925520907,7,2025,0,0.006266401956077708
0525330406,6,2025,0,0.015919722104350227
1025151114,14,2025,0,0.006129327283087914
0625311103,3,2025,0,0.012403283616437357
05252C1215,15,2025,0,0.002307550843226825
0525291116,16,2025,0,0.0037242115560730785
0725141110,10,2025,0,0.007725069905574147
1025181114,14,2025,0,0.04794295558430215
0525160811,11,2025,0,0.005051305185351026
0525571202,2,2025,0,0.0007751383485979837
0425170114,14,2025,0,0.12840827292427714
0525171107,7,2025,0,0.006750406446653447
0925261010,10,2025,0,0.03951053124645559
05252C1212,12,2025,0,0.005918134935982965
1025281111,11,2025,0,0.0034623125220305433
0125261103,3,2025,0,0.0075812578732365205
0325351115,15,2025,0,0.010199122734482736
0725531112,12,2025,0,0.001357485908840129
0925160904,4,2025,0,0.002652256488813807
0325241008,8,2025,0,0.001360692244424779
0325281004,4,2025,0,0.0021562835505579345
0925490905,5,2025,0,0.0006821946550323726
0725141007,7,2025,0,0.0006446550785345468
0525181116,16,2025,0,0.0009075786564071348
0725521105,5,2025,0,0.0021272569847643713
0425270910,10,2025,0,0.018093399172557006
0625121001,1,2025,0,0.002772434095906006
0625330806,6,2025,0,0.0011116900472198947
0525161006,6,2025,0,0.0035813790350967983
0325111105,5,2025,0,0.0016591894642116259
0525291105,5,2025,0,0.0025307061002767337
1025261108,8,2025,0,0.0028791812316812347
0525491108,8,2025,0,0.0004997176699700094
0825111001,1,2025,0,0.0103135944780304
0925120907,7,2025,0,0.005683207968519547
0925170809,9,2025,0,0.019244419645634746
0425280809,9,2025,0,0.01013415628147271
0825480806,6,2025,0,0.008971120442970965
0925551008,8,2025,0,0.02448827398762711
0625230901,1,2025,0,0.0028290906518982258
0625340901,1,2025,0,0.004289806351828008
0325141009,9,2025,0,0.0013498918063996727
0525240802,2,2025,0,0.002584709285838469
0325241005,5,2025,0,0.0011403471063731556
0325341005,5,2025,0,0.0017361687527627867
0625561201,1,2025,0,0.0003045186725751352
1025190401,1,2025,0,0.0012062311682210947
0825210402,2,2025,0,0.0006240829742845187
0925331109,9,2025,0,0.0046562119198533605
0325241114,14,2025,0,0.022914497076175655
0725431112,12,2025,0,0.0024748096260735824
0825451113,13,2025,0,0.004131529025084121
0525461103,3,2025,0,0.0003638487861706613
0925151205,5,2025,0,0.0018582863137330497
0725421013,13,2025,0,0.0019348078193788525
10251B0907,7,2025,0,0.0008094662074083633
0625221112,12,2025,0,0.03957381331520516
0625311109,9,2025,0,0.01171196935013121
1025130509,9,2025,0,0.031134979139024414
0425110406,6,2025,0,0.13047218278964873
0525530804,4,2025,0,0.03292572507251042
0725141112,12,2025,0,0.0028189111444578505
0625281112,12,2025,0,0.002662499730936652
0625361112,12,2025,0,0.0027901527468898336
0825271108,8,2025,0,0.006809487579432216
0525341112,12,2025,1,0.0026354453890294984
1025241102,2,2025,0,0.001939444262449131
0825311112,12,2025,0,0.00580648755809835
0525541110,10,2025,0,0.013928920406380024
0925571104,4,2025,0,0.0009996214256465475
0625170411,11,2025,0,0.09658786774455866
0425160404,4,2025,0,0.28711944361675623
0425340106,6,2025,0,0.02354799517053013
0625170407,7,2025,0,0.0060138821728158145
0725141109,9,2025,0,0.0013469202533343794
0725141001,1,2025,0,0.004401897323624122
0525220912,12,2025,0,0.004973031210453247
0725191107,7,2025,0,0.001448561820132524
0425140405,5,2025,0,0.0045248049353785605
0725150810,10,2025,0,0.0007540306601213748
0625111106,6,2025,0,0.0026451227057749864
0625191105,5,2025,0,0.0031942461782987343
0625221106,6,2025,0,0.0022180725573491852
0925241108,8,2025,0,0.001797785030492663
0525251115,15,2025,0,0.0018150591225800582
0625131101,1,2025,0,0.0018394439407393099
0525131108,8,2025,0,0.0021438211427637446
0925111001,1,2025,0,0.0010302000498777731
1025181103,3,2025,0,0.2613514255114977
0925161108,8,2025,0,0.0967553034601661
0325161101,1,2025,0,0.02591097342897964
0725190705,5,2025,0,0.00038747004925456516
1025170809,9,2025,0,0.083642274580029
0725130809,9,2025,0,0.09793144574055482
0425270911,11,2025,0,0.0027118783664413885
0425120710,10,2025,0,0.0023605355815350375
0425171211,11,2025,0,0.002003563671667141
0325241206,6,2025,0,0.0009706126236657175
0625211113,13,2025,0,0.15708094037868367
0925270911,11,2025,0,0.0006930904489516063
0625191115,15,2025,0,0.0032264253193091657
0825161108,8,2025,0,0.005421104167139813
0525251103,3,2025,0,0.0027913786801405925
1025181108,8,2025,0,0.004489298917935828
0625361114,14,2025,0,0.01019317584404427
0825271104,4,2025,0,0.010616317984975924
0325251110,10,2025,0,0.018866285108758072
0625160408,8,2025,0,0.056598776895992194
0625230401,1,2025,0,0.04151147006655227
0825220403,3,2025,0,0.026723583624959173
0425160413,13,2025,0,0.02268114776064314
0625160402,2,2025,0,0.0034440851517530046
1025150509,9,2025,0,0.0012332761280586218
1025190503,3,2025,0,0.0018103244056397968
10251C0408,8,2025,0,0.014510546704124999
0425110103,3,2025,0,0.002098741761615908
0325340403,3,2025,0,0.0156214018528321
0925231202,2,2025,0,0.0018228765552980837
0925270913,13,2025,0,0.0004793597200305426
0625131008,8,2025,0,0.001023955611942245
0725131109,9,2025,0,0.004235228621903881
