race_id,umaban,year,is_top3,p_v19_no_sib
0425170111,11,2025,0,0.05543791864879912
1025250406,6,2025,0,0.12714325077385163
0525410402,2,2025,0,0.0398025400363917
0325350502,2,2025,0,0.009091915271948425
0825141001,1,2025,0,0.05648998573970899
0925231010,10,2025,0,0.006918484338644236
0925321113,13,2025,0,0.005240627015769958
0625141016,16,2025,0,0.002070976008430501
0825171105,5,2025,0,0.1683900402046217
0725261104,4,2025,0,0.047317955821103506
0525231111,11,2025,0,0.02961310730831447
1025130504,4,2025,0,0.18969119497078737
10251B0510,10,2025,0,0.3328722277139899
08252C0412,12,2025,0,0.22657373816014317
0525330411,11,2025,1,0.015758471148454585
1025130412,12,2025,0,0.5865509401442655
0425160412,12,2025,1,0.5527230275396645
0425270903,3,2025,0,0.07469451434803967
0625160409,9,2025,0,0.4526842685867821
1025170402,2,2025,0,0.27493709607315003
10251B0402,2,2025,0,0.30306002205279015
0925220401,1,2025,1,0.2107563745545317
0425130404,4,2025,0,0.16625066349903445
0425330103,3,2025,0,0.0053197321023147155
1025170801,1,2025,0,0.5813743292662203
0825270810,10,2025,0,0.3461934247841208
1025250405,5,2025,1,0.38718539452226003
0425270907,7,2025,0,0.09459632442379608
0525530811,11,2025,0,0.05592181457112753
0825120908,8,2025,1,0.16045568913231414
0725250904,4,2025,0,0.12240702541499822
0425151006,6,2025,0,0.15408606420285187
08252C0912,12,2025,0,0.14287140397254083
0725360808,8,2025,0,0.14452828787411542
0525530906,6,2025,0,0.053419374326087246
0925520907,7,2025,1,0.13063340789520175
0525330406,6,2025,0,0.08534088692782502
1025151114,14,2025,0,0.004610991292602321
0625311103,3,2025,0,0.0824999437845829
05252C1215,15,2025,0,0.01593838237374172
0525291116,16,2025,0,0.0018223276647814633
0725141110,10,2025,0,0.030303566763844925
1025181114,14,2025,0,0.11901225943417619
0525160811,11,2025,0,0.08715746391025052
0525571202,2,2025,0,0.004383758929935205
0425170114,14,2025,0,0.27690658952536695
0525171107,7,2025,0,0.10967461532352599
0925261010,10,2025,0,0.21983301638355082
05252C1212,12,2025,0,0.03797449728447827
1025281111,11,2025,0,0.08847535766689037
0125261103,3,2025,0,0.10625994762684483
0325351115,15,2025,0,0.04323592140588099
0725531112,12,2025,0,0.012105306007593618
0925160904,4,2025,0,0.023981758120724478
0325241008,8,2025,0,0.01590751557257871
0325281004,4,2025,0,0.047028334925150725
0925490905,5,2025,0,0.003673852906341149
0725141007,7,2025,0,0.0030283373320917346
0525181116,16,2025,0,0.006023821020078048
0725521105,5,2025,0,0.02769094187215278
0425270910,10,2025,0,0.08336114031695299
0625121001,1,2025,0,0.02924092652662838
0625330806,6,2025,0,0.0037455461834474467
0525161006,6,2025,0,0.03888363987626246
0325111105,5,2025,0,0.04971996435518785
0525291105,5,2025,0,0.016734389194510167
1025261108,8,2025,0,0.021450473858970705
0525491108,8,2025,0,0.004124833939642662
0825111001,1,2025,0,0.07535084814396359
0925120907,7,2025,0,0.08332327420163682
0925170809,9,2025,1,0.16291283053080358
0425280809,9,2025,0,0.15690687600731326
0825480806,6,2025,0,0.12350408641324166
0925551008,8,2025,0,0.30414076227857395
0625230901,1,2025,0,0.0720963887568693
0625340901,1,2025,0,0.028034526503915278
0325141009,9,2025,0,0.015616260303157384
0525240802,2,2025,0,0.05162446562967292
0325241005,5,2025,0,0.019089798650028945
0325341005,5,2025,0,0.032300300012763856
0625561201,1,2025,0,0.0021467906233474015
1025190401,1,2025,0,0.010166795480616433
0825210402,2,2025,0,0.004689270553918978
0925331109,9,2025,0,0.0540213931505484
0325241114,14,2025,0,0.1655011526920756
0725431112,12,2025,0,0.01872233146951427
0825451113,13,2025,0,0.01947846158710617
0525461103,3,2025,0,0.0036357355307837943
0925151205,5,2025,0,0.03755897434138333
0725421013,13,2025,0,0.03967833501708421
10251B0907,7,2025,0,0.002856479868445122
0625221112,12,2025,0,0.07657009150726056
0625311109,9,2025,0,0.09486039677794944
1025130509,9,2025,1,0.28289161187450923
0425110406,6,2025,1,0.32794892794524
0525530804,4,2025,0,0.11197563988979585
0725141112,12,2025,0,0.047878205346909196
0625281112,12,2025,0,0.01823304192258112
0625361112,12,2025,0,0.03587360036472884
0825271108,8,2025,0,0.05779012637656166
0525341112,12,2025,1,0.014376416183238927
1025241102,2,2025,0,0.03750709648230975
0825311112,12,2025,0,0.03893704044700571
0525541110,10,2025,0,0.06724291549031729
0925571104,4,2025,0,0.008697854300652357
0625170411,11,2025,1,0.3517793091393001
0425160404,4,2025,0,0.5794578398235721
0425340106,6,2025,0,0.08044246039980742
0625170407,7,2025,0,0.024706197962513474
0725141109,9,2025,0,0.0044686804043457965
0725141001,1,2025,0,0.04266732210570302
0525220912,12,2025,0,0.03154700004900401
0725191107,7,2025,0,0.007962625262913895
0425140405,5,2025,0,0.02348816780861621
0725150810,10,2025,0,0.0019889595079060664
0625111106,6,2025,0,0.03724753425507234
0625191105,5,2025,0,0.03780021327785937
0625221106,6,2025,0,0.023967869975952297
0925241108,8,2025,0,0.027159138806735865
0525251115,15,2025,0,0.004102898529104289
0625131101,1,2025,0,0.012126069797842486
0525131108,8,2025,0,0.01655886274196577
0925111001,1,2025,0,0.003495980348441282
1025181103,3,2025,0,0.5499436886023418
0925161108,8,2025,0,0.40283063515450224
0325161101,1,2025,1,0.19833694107683458
0725190705,5,2025,0,0.0028402448857771457
1025170809,9,2025,1,0.13951812419477214
0725130809,9,2025,0,0.35084336308224723
0425270911,11,2025,0,0.018774453734183207
0425120710,10,2025,0,0.04768364207342695
0425171211,11,2025,0,0.07526204596830158
0325241206,6,2025,0,0.007194871487587348
0625211113,13,2025,0,0.274705905893438
0925270911,11,2025,0,0.001733312299992193
0625191115,15,2025,0,0.01540242610910523
0825161108,8,2025,0,0.06826113515079685
0525251103,3,2025,0,0.01913831646649454
1025181108,8,2025,0,0.0647689873451648
0625361114,14,2025,0,0.0727896327839119
0825271104,4,2025,0,0.06211436843819592
0325251110,10,2025,0,0.08698274357083352
0625160408,8,2025,0,0.35454340577370796
0625230401,1,2025,0,0.3316825332715195
0825220403,3,2025,0,0.4158690270100681
0425160413,13,2025,0,0.15891933689594268
0625160402,2,2025,0,0.0687942888295667
1025150509,9,2025,0,0.0317271624104502
1025190503,3,2025,1,0.032782937854622336
10251C0408,8,2025,0,0.1616238470341188
0425110103,3,2025,0,0.04001642251084909
0325340403,3,2025,0,0.07450597180655008
0925231202,2,2025,0,0.02068127109152434
0925270913,13,2025,0,0.0023434498022917184
0625131008,8,2025,0,0.00873617592515496
0725131109,9,2025,0,0.07293773964246272
0825141007,7,2025,0,0.1046436804081488
0325111106,6,2025,0,0.16599609379181793
0525221009,9,2025,0,0.056809056535131984
0825281110,10,2025,0,0.07132102538472196
0925411107,7,2025,0,0.011928140868258065
0825481107,7,2025,0,0.004532964955916391
0625211102,2,2025,1,0.4545671243466138
0725261102,2,2025,0,0.056327290562704864
0225111106,6,2025,0,0.12074336520713418
0425240710,10,2025,1,0.10423557973020248
0925421110,10,2025,0,0.08416365270539897
0525541106,6,2025,0,0.28450168389924474
0925551116,16,2025,0,0.16060485438795752
0825121109,9,2025,1,0.29795463807926165
0125221110,10,2025,0,0.5457018561239899
0625491116,16,2025,1,0.19015044767736927
0925111006,6,2025,0,0.04615138124230853
0925181108,8,2025,0,0.011418236231649
0825241102,2,2025,0,0.012012930847995196
08253B1010,10,2025,0,0.010263141537618162
1025120906,6,2025,0,0.08309659941492609
1025170602,2,2025,0,0.2331934653114234
0625111202,2,2025,0,0.09980838883491769
0625190805,5,2025,1,0.05254464847832512
0525140808,8,2025,0,0.023902159197685756
0525181102,2,2025,0,0.11104317829466118
1025141015,15,2025,0,0.030622755510501875
0925271004,4,2025,0,0.019662510096606228
0825270705,5,2025,0,0.053454549034560365
1025231208,8,2025,1,0.053731503628728326
1025281215,15,2025,0,0.0287996254969488
0625481012,12,2025,0,0.04024457656057927
0525521202,2,2025,0,0.027397224655376067
0625180901,1,2025,0,0.2750168176325399
0625220903,3,2025,1,0.2850337572822516
0625361007,7,2025,1,0.2368474973554538
0525210901,1,2025,0,0.2226565722733538
0325241010,10,2025,0,0.22180349123967144
0625540904,4,2025,0,0.05783345393105247
0825131114,14,2025,0,0.021596010316620853
0725160908,8,2025,0,0.03611001607020224
0925231206,6,2025,0,0.025197720829971775
0525231203,3,2025,0,0.040354338261309124
0525281014,14,2025,0,0.15716234760339634
0525321214,14,2025,0,0.03550040419752433
0325331006,6,2025,0,0.1123666925727869
0725121105,5,2025,0,0.024623031726568757
0825161105,5,2025,0,0.024755148128475252
0925261011,11,2025,0,0.031605879770005264
08253B0407,7,2025,0,0.3111007569258569
0625561105,5,2025,0,0.007967487989779969
1025160402,2,2025,0,0.022867250975796775
1025281206,6,2025,0,0.02145873858425016
0425340107,7,2025,0,0.05466878992552699
0625221007,7,2025,0,0.024269805927064337
0425131110,10,2025,0,0.015198590748599673
0625111111,11,2025,0,0.003365966558797857
0525120816,16,2025,0,0.0223658199747303
0525160810,10,2025,0,0.005321842348712562
0625231010,10,2025,0,0.016808088452785787
0925280407,7,2025,0,0.03480168968986487
0425160510,10,2025,0,0.07201210424730703
0825161102,2,2025,0,0.30131133770014606
0625311114,14,2025,0,0.11612585684369751
0325351112,12,2025,0,0.24414348402706915
0625161111,11,2025,0,0.059435485229657345
0425181116,16,2025,0,0.04089860988999851
1025130309,9,2025,0,0.006969561451676897
0725130413,13,2025,0,0.07234186966441794
0725231209,9,2025,0,0.3391853682083837
0925250808,8,2025,0,0.05970405806211898
0325161211,11,2025,0,0.25000681631723226
1025220806,6,2025,0,0.17283660450354804
1025251205,5,2025,0,0.02892358342206129
