race_id,umaban,year,is_win,p_v18_sib_exp
0425170111,11,2025,0,0.0018480222107274387
1025250406,6,2025,0,0.012423014758319088
0525410402,2,2025,0,0.001336642723795592
0325350502,2,2025,0,0.0017304852940702308
0825141001,1,2025,0,0.0025967783098382307
0925231010,10,2025,0,0.0006206288809065591
0925321113,13,2025,0,0.0010486416039805074
0625141016,16,2025,0,0.0002523008111317752
0825171105,5,2025,0,0.020297395324672056
0725261104,4,2025,0,0.0045996116566359
0525231111,11,2025,0,0.004202100205903325
1025130504,4,2025,0,0.02842817416579979
10251B0510,10,2025,0,0.1302376507347997
08252C0412,12,2025,0,0.021694183798793048
0525330411,11,2025,0,0.0022110631529403428
1025130412,12,2025,0,0.11116098550297564
0425160412,12,2025,1,0.3083026309770941
0425270903,3,2025,0,0.005403024145684229
0625160409,9,2025,0,0.09698207421640045
1025170402,2,2025,0,0.02250480324956907
10251B0402,2,2025,0,0.05642557998807955
0925220401,1,2025,1,0.014421420134120705
0425130404,4,2025,0,0.04856845295670831
0425330103,3,2025,0,0.0006559959178454919
1025170801,1,2025,0,0.08660677969995202
0825270810,10,2025,0,0.049125815120905164
1025250405,5,2025,0,0.056082239637980924
0425270907,7,2025,0,0.00914804128764765
0525530811,11,2025,0,0.009078132040251976
0825120908,8,2025,0,0.017471882720889592
0725250904,4,2025,0,0.0112454965072263
0425151006,6,2025,0,0.025095832547770213
08252C0912,12,2025,0,0.008731802693224653
0725360808,8,2025,0,0.011790969961186042
0525530906,6,2025,0,0.002188593343888801
0925520907,7,2025,0,0.009458117147484582
0525330406,6,2025,0,0.015151744482623838
1025151114,14,2025,0,0.002283660284372503
0625311103,3,2025,0,0.014419066718336242
05252C1215,15,2025,0,0.0016856384971621512
0525291116,16,2025,0,0.0028211316517483685
0725141110,10,2025,0,0.00602893513701209
1025181114,14,2025,0,0.06624862057778198
0525160811,11,2025,0,0.006933798701707582
0525571202,2,2025,0,0.00044232176475735593
0425170114,14,2025,0,0.16410234165152213
0525171107,7,2025,0,0.0034865020953485566
0925261010,10,2025,0,0.02314183559173175
05252C1212,12,2025,0,0.010570794136930201
1025281111,11,2025,0,0.006826824955795354
0125261103,3,2025,0,0.0056426366856817175
0325351115,15,2025,0,0.008982525301597776
0725531112,12,2025,0,0.0006679255087962977
0925160904,4,2025,0,0.0032255295773383984
0325241008,8,2025,0,0.0024307236543469057
0325281004,4,2025,0,0.0030535131245264034
0925490905,5,2025,0,0.0006704546941258784
0725141007,7,2025,0,0.0003927056436382777
0525181116,16,2025,0,0.0012712879785835723
0725521105,5,2025,0,0.0013273940690051705
0425270910,10,2025,0,0.034300677119363375
0625121001,1,2025,0,0.0017971578303770104
0625330806,6,2025,0,0.0003338333830260857
0525161006,6,2025,0,0.002731677293325982
0325111105,5,2025,0,0.0014958634472220433
0525291105,5,2025,0,0.0022566934002907955
1025261108,8,2025,0,0.0009574818836823794
0525491108,8,2025,0,0.0004552784280292925
0825111001,1,2025,0,0.0058951272084773795
0925120907,7,2025,0,0.009412539818632938
0925170809,9,2025,0,0.020286702994661454
0425280809,9,2025,0,0.023060494616706863
0825480806,6,2025,0,0.01584555038958271
0925551008,8,2025,0,0.030176771238326763
0625230901,1,2025,0,0.0029451632118481664
0625340901,1,2025,0,0.004548504122674274
0325141009,9,2025,0,0.0006800313994245076
0525240802,2,2025,0,0.002955425655699389
0325241005,5,2025,0,0.00043930665194896474
0325341005,5,2025,0,0.001293681150419035
0625561201,1,2025,0,0.00035945763175033486
1025190401,1,2025,0,0.0009815592627531048
0825210402,2,2025,0,0.00035738310193272297
0925331109,9,2025,0,0.0028012014530373985
0325241114,14,2025,0,0.02075084486057336
0725431112,12,2025,0,0.0016121474331102453
0825451113,13,2025,0,0.0020400092883183763
0525461103,3,2025,0,0.0007296043345659431
0925151205,5,2025,0,0.001522652849010265
0725421013,13,2025,0,0.011676841146596532
10251B0907,7,2025,0,0.0003904620014126116
0625221112,12,2025,0,0.015345400096987968
0625311109,9,2025,0,0.0070822354753365445
1025130509,9,2025,0,0.03755662146349579
0425110406,6,2025,0,0.12378899597564319
0525530804,4,2025,0,0.028296031876672092
0725141112,12,2025,0,0.002201973877981018
0625281112,12,2025,0,0.006544208324212765
0625361112,12,2025,0,0.003498247639140652
0825271108,8,2025,0,0.004519054042505234
0525341112,12,2025,1,0.001502226940178261
1025241102,2,2025,0,0.0024751220806615
0825311112,12,2025,0,0.0034340469684099127
0525541110,10,2025,0,0.009553388446140256
0925571104,4,2025,0,0.0007196631182894269
0625170411,11,2025,0,0.07308629936107514
0425160404,4,2025,0,0.2050269286623631
0425340106,6,2025,0,0.0235630455484106
0625170407,7,2025,0,0.004648483552290156
0725141109,9,2025,0,0.0008064780075555729
0725141001,1,2025,0,0.0025339294040074302
0525220912,12,2025,0,0.003425070960096533
0725191107,7,2025,0,0.000953226009157896
0425140405,5,2025,0,0.0061961339674139705
0725150810,10,2025,0,0.0010797428694869471
0625111106,6,2025,0,0.0037641933399296438
0625191105,5,2025,0,0.004302209900342644
0625221106,6,2025,0,0.002270978874796983
0925241108,8,2025,0,0.00223122298459195
0525251115,15,2025,0,0.0011288449032674783
0625131101,1,2025,0,0.0012745651620662281
0525131108,8,2025,0,0.001883230142386846
