race_id,umaban,year,is_top3,p_v19_sib_exp
0425170111,11,2025,0,0.045176758217442915
1025250406,6,2025,0,0.18166965642672184
0525410402,2,2025,0,0.027845988808260204
0325350502,2,2025,0,0.00831869342248469
0825141001,1,2025,0,0.03416354967464144
0925231010,10,2025,0,0.003960683070743119
0925321113,13,2025,0,0.004069017841926957
0625141016,16,2025,0,0.002000284990099465
0825171105,5,2025,0,0.1621801638954158
0725261104,4,2025,0,0.037806473392220596
0525231111,11,2025,0,0.040383836431245
1025130504,4,2025,0,0.28718507701286955
10251B0510,10,2025,0,0.38888216442293067
08252C0412,12,2025,0,0.2254521709055477
0525330411,11,2025,1,0.01550141142927247
1025130412,12,2025,0,0.5094673446737974
0425160412,12,2025,1,0.5544287069887984
0425270903,3,2025,0,0.09114429334589977
0625160409,9,2025,0,0.5311981182910264
1025170402,2,2025,0,0.32167109136439503
10251B0402,2,2025,0,0.33560757127983953
0925220401,1,2025,1,0.17358194546889502
0425130404,4,2025,0,0.16180264546912643
0425330103,3,2025,0,0.008338691568204243
1025170801,1,2025,0,0.5978757113576196
0825270810,10,2025,0,0.3395867944836716
1025250405,5,2025,1,0.45683683352210236
0425270907,7,2025,0,0.09952808566849164
0525530811,11,2025,0,0.05024421377855862
0825120908,8,2025,1,0.13046726652590762
0725250904,4,2025,0,0.21096342044581487
0425151006,6,2025,0,0.24465527615525848
08252C0912,12,2025,0,0.16228153730098874
0725360808,8,2025,0,0.13888311576078433
0525530906,6,2025,0,0.039556799737298684
0925520907,7,2025,1,0.13281734649733096
0525330406,6,2025,0,0.09143777294382133
1025151114,14,2025,0,0.005572332155867235
0625311103,3,2025,0,0.09096179742677564
05252C1215,15,2025,0,0.020148032621533044
0525291116,16,2025,0,0.001434679515417103
0725141110,10,2025,0,0.030212243524354084
1025181114,14,2025,0,0.11222229301812299
0525160811,11,2025,0,0.08712853910614968
0525571202,2,2025,0,0.0039031507274802806
0425170114,14,2025,0,0.2984867678774076
0525171107,7,2025,0,0.08086628395086422
0925261010,10,2025,0,0.1899209025001104
05252C1212,12,2025,0,0.03241766990535924
1025281111,11,2025,0,0.06446711059456246
0125261103,3,2025,0,0.12204410216365207
0325351115,15,2025,0,0.051048849775188664
0725531112,12,2025,0,0.012328700455032975
0925160904,4,2025,0,0.03680405815402072
0325241008,8,2025,0,0.01905467256052207
0325281004,4,2025,0,0.031159110442631553
0925490905,5,2025,0,0.0033937986839846987
0725141007,7,2025,0,0.004339308365727923
0525181116,16,2025,0,0.003705676930642172
0725521105,5,2025,0,0.020159092302628898
0425270910,10,2025,0,0.0882639058632538
0625121001,1,2025,0,0.029538150067702988
0625330806,6,2025,0,0.0033987202776266253
0525161006,6,2025,0,0.03276069189909199
0325111105,5,2025,0,0.028317064450713532
0525291105,5,2025,0,0.01687637744770927
1025261108,8,2025,0,0.022468483299787748
0525491108,8,2025,0,0.0033246065760803036
0825111001,1,2025,0,0.08680263413983925
0925120907,7,2025,0,0.06936041237485134
0925170809,9,2025,1,0.17718305168025014
0425280809,9,2025,0,0.1079215178149571
0825480806,6,2025,0,0.07270317090149285
0925551008,8,2025,0,0.23279135490034483
0625230901,1,2025,0,0.0489280876091149
0625340901,1,2025,0,0.029213374639818337
0325141009,9,2025,0,0.014647137014448522
0525240802,2,2025,0,0.059154591452776066
0325241005,5,2025,0,0.01437531311764016
0325341005,5,2025,0,0.038119203605517064
0625561201,1,2025,0,0.002963721424192263
1025190401,1,2025,0,0.010436072143149887
0825210402,2,2025,0,0.004079894727753061
0925331109,9,2025,0,0.1019292755953995
0325241114,14,2025,0,0.11934210652944659
0725431112,12,2025,0,0.02426631175678475
0825451113,13,2025,0,0.011593926064133559
0525461103,3,2025,0,0.0019436542536415272
0925151205,5,2025,0,0.03807431325361692
0725421013,13,2025,0,0.044344571064416735
10251B0907,7,2025,0,0.0020915102706869785
0625221112,12,2025,0,0.06446464164852289
0625311109,9,2025,0,0.0754669184683776
1025130509,9,2025,1,0.19754288845001042
0425110406,6,2025,1,0.37928149561699703
0525530804,4,2025,0,0.16740422662601123
0725141112,12,2025,0,0.035407131211860454
0625281112,12,2025,0,0.01585359513696182
0625361112,12,2025,0,0.027090364010865956
0825271108,8,2025,0,0.06580290433348433
0525341112,12,2025,1,0.012343179126871691
1025241102,2,2025,0,0.023826332138823632
0825311112,12,2025,0,0.06725911581682235
0525541110,10,2025,0,0.03780955088503457
0925571104,4,2025,0,0.007872921582755502
0625170411,11,2025,1,0.335658682082508
0425160404,4,2025,0,0.6182020982124427
0425340106,6,2025,0,0.06506421656543815
0625170407,7,2025,0,0.023700826624972658
0725141109,9,2025,0,0.0047216465587674806
0725141001,1,2025,0,0.06391516345430752
0525220912,12,2025,0,0.05463240252472071
0725191107,7,2025,0,0.009404195503564068
0425140405,5,2025,0,0.01781102299085275
0725150810,10,2025,0,0.0027824866547907137
0625111106,6,2025,0,0.03949797154388048
0625191105,5,2025,0,0.02853260968936091
0625221106,6,2025,0,0.02680511587277523
0925241108,8,2025,0,0.020402030637668857
0525251115,15,2025,0,0.00667743572937594
0625131101,1,2025,0,0.012951535442410395
0525131108,8,2025,0,0.017662059145249924
0925111001,1,2025,0,0.006320063560005021
1025181103,3,2025,0,0.5489419475866965
0925161108,8,2025,0,0.41477194067746326
0325161101,1,2025,1,0.15750346329485718
0725190705,5,2025,0,0.004450558006779574
